site_id,timestamp,block_no,physics_anchor_schedule_mw,schedule_mw,llm_reasoning,source_run_time,effective_from
KASIPET,2026-08-15 11:15:00,46,7.609,7.609,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 11:30:00,47,7.685,7.685,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 11:45:00,48,7.731,7.731,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 12:00:00,49,7.747,7.747,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 12:15:00,50,7.731,7.731,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 12:30:00,51,7.685,7.685,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 12:45:00,52,7.609,7.609,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 13:00:00,53,7.503,7.503,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 13:15:00,54,7.366,7.366,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 13:30:00,55,7.201,7.201,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 13:45:00,56,7.008,7.008,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 14:00:00,57,6.787,6.787,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 14:15:00,58,6.540,6.540,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 14:30:00,59,6.267,6.267,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 14:45:00,60,5.970,5.970,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 15:00:00,61,5.649,5.649,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 15:15:00,62,5.308,5.308,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 15:30:00,63,4.945,4.945,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 15:45:00,64,4.564,4.564,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 16:00:00,65,4.166,4.166,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 16:15:00,66,3.753,3.753,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 16:30:00,67,3.327,3.327,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 16:45:00,68,2.888,2.888,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 17:00:00,69,2.439,2.439,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 17:15:00,70,1.983,1.983,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 17:30:00,71,1.520,1.520,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 17:45:00,72,1.055,1.055,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 18:00:00,73,0.585,0.585,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 18:15:00,74,0.118,0.118,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 18:30:00,75,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 18:45:00,76,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 19:00:00,77,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
