site_id,timestamp,block_no,physics_anchor_schedule_mw,schedule_mw,llm_reasoning,source_run_time,effective_from
SIRMOUR,2026-08-15 15:45:00,64,0.987,0.987,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 16:00:00,65,0.905,0.905,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 16:15:00,66,0.820,0.820,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 16:30:00,67,0.731,0.731,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 16:45:00,68,0.641,0.641,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 17:00:00,69,0.549,0.549,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 17:15:00,70,0.454,0.454,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 17:30:00,71,0.358,0.358,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 17:45:00,72,0.262,0.262,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 18:00:00,73,0.166,0.166,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 18:15:00,74,0.069,0.069,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 18:30:00,75,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 18:45:00,76,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
SIRMOUR,2026-08-15 19:00:00,77,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 08:15:00
