Block,Time,Physics Anchor MW,Base Physics Anchor MW,Live Residual Factor,Regime,Fluctuation Flag,LLM MW,Validated MW,Confidence,Reasoning,Retrieved Cases Count,Top Retrieved Case,Context Summary,Live State Summary,Feature Snapshot
33,2026-08-15 08:00,0.827,1.065,0.776,weak cloudy,False,0.827,0.827,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=32.73; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
34,2026-08-15 08:15,0.962,1.162,0.828,weak cloudy,False,0.962,0.962,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=36.14; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
35,2026-08-15 08:30,1.065,1.254,0.85,weak cloudy,False,1.065,1.065,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=39.55; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
36,2026-08-15 08:45,1.141,1.343,0.85,weak cloudy,False,1.141,1.141,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=42.96; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
37,2026-08-15 09:00,1.211,1.426,0.85,weak cloudy,False,1.211,1.211,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=46.36; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
38,2026-08-15 09:15,1.277,1.503,0.85,weak cloudy,False,1.277,1.277,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=49.74; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
39,2026-08-15 09:30,1.339,1.576,0.85,weak cloudy,False,1.339,1.339,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=53.11; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
40,2026-08-15 09:45,1.395,1.642,0.85,weak cloudy,False,1.395,1.395,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=56.46; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
41,2026-08-15 10:00,1.446,1.702,0.85,weak cloudy,False,1.446,1.446,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=59.77; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
42,2026-08-15 10:15,1.492,1.756,0.85,weak cloudy,False,1.492,1.492,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=63.03; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
43,2026-08-15 10:30,1.532,1.803,0.85,weak cloudy,False,1.532,1.532,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=66.22; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
44,2026-08-15 10:45,1.566,1.843,0.85,weak cloudy,False,1.566,1.566,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=69.31; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
45,2026-08-15 11:00,1.594,1.876,0.85,weak cloudy,False,1.594,1.594,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=72.22; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
46,2026-08-15 11:15,1.616,1.902,0.85,weak cloudy,False,1.616,1.616,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=74.88; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
47,2026-08-15 11:30,1.631,1.92,0.85,weak cloudy,False,1.631,1.631,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=77.11; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
48,2026-08-15 11:45,1.641,1.932,0.85,weak cloudy,False,1.641,1.641,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=78.66; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
49,2026-08-15 12:00,1.644,1.935,0.85,weak cloudy,False,1.644,1.644,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=79.22; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
